Date,Source,Headline,Sentiment,Sentiment Score,Label,Link
2024-09-08,ambcrypto,"EOS crypto rolls out significant update, but still fails to crack top-50 – Why?",Negative,0.3912,3 stars,https://ambcrypto.com/eos-crypto-rolls-out-significant-update-but-still-fails-to-crack-top-50-why/
2024-09-08,ambcrypto,THIS Bitcoin metric is nearing ZERO – Should traders be more worried?,Positive,0.6327,1 stars,https://ambcrypto.com/this-bitcoin-metric-is-nearing-zero-should-traders-be-more-worried/
2024-09-08,ambcrypto,FLOKI price prediction – Watch THIS level for a price bounce!,Negative,0.2806,3 stars,https://ambcrypto.com/floki-price-prediction-watch-this-level-for-a-price-bounce/
2024-09-08,ambcrypto,"Solana traders can expect SOL to fall to $112, but here’s what’s next!",Negative,0.2913,3 stars,https://ambcrypto.com/solana-traders-can-expect-sol-to-fall-to-112-but-heres-whats-next/
2024-09-07,ambcrypto,Will Bitcoin recover from THIS $78.5M whale sale? Metrics suggest…,Negative,0.4656,1 stars,https://ambcrypto.com/will-bitcoin-recover-from-this-78-5m-whale-sale-metrics-suggest/
2024-09-07,ambcrypto,‘Bitcoin a matter of national security’ – Mara’s CEO after Russia mined $3B,Negative,0.3849,1 stars,https://ambcrypto.com/bitcoin-a-matter-of-national-security-maras-ceo-after-russia-mined-3b-in-btc/
2024-09-07,ambcrypto,"Ethereum ETFs’ changing landscape – Monochrome, VanEck, and more outflows",Negative,0.3082,1 stars,https://ambcrypto.com/ethereum-etfs-changing-landscape-monochrome-vaneck-and-more-outflows/
2024-09-07,ambcrypto,Is Bitcoin’s bottom close by? The next buy opportunity may be…,Negative,0.3454,2 stars,https://ambcrypto.com/is-bitcoins-bottom-close-by-the-next-buy-opportunity-may-be/
2024-09-07,ambcrypto,Dogecoin price prediction – DOGE’s next short-term targets may be…,Negative,0.2756,3 stars,https://ambcrypto.com/dogecoin-price-prediction-doges-next-short-term-targets-may-be/
2024-09-07,ambcrypto,Ethereum – Examining why these institutions dumped $123M in ETH,Negative,0.3607,2 stars,https://ambcrypto.com/ethereum-examining-why-these-institutions-dumped-123m-in-eth/
2024-09-07,ambcrypto,Polygon – How POL network stats are profiting after MATIC migration,Negative,0.2781,2 stars,https://ambcrypto.com/polygon-how-pol-network-stats-are-profiting-after-matic-migration/
2024-09-07,ambcrypto,"BONK’s price can possibly hike by 30% – When, where, how can it happen?",Negative,0.4077,3 stars,https://ambcrypto.com/bonks-price-can-possibly-hike-by-30-when-where-how-can-it-happen/
2024-09-07,ambcrypto,Ethereum vs Bitcoin – Explaining the 44% underperformance,Negative,0.3204,3 stars,https://ambcrypto.com/ethereum-vs-bitcoin-explaining-the-44-underperformance/
2024-09-07,ambcrypto,Ethereum price prediction – Here’s what’s next after sustained waves of selling,Negative,0.309,2 stars,https://ambcrypto.com/ethereum-price-prediction-heres-whats-next-after-sustained-waves-of-selling/
2024-09-07,ambcrypto,Why is Bitcoin down today? All you need to know about U.S Jobs report and more…,Negative,0.3387,2 stars,https://ambcrypto.com/why-is-bitcoin-down-today-all-you-need-to-know-about-u-s-jobs-report-and-more/
2024-09-07,ambcrypto,THORChain Hard Fork falls short – Can RUNE recover from its 70% drop?,Negative,0.4452,2 stars,https://ambcrypto.com/thorchain-hard-fork-falls-short-can-rune-recover-from-its-70-drop/
2024-09-08,Bitcoin.com News,UBS: European Real Estate Markets Enter New Cycle,Negative,0.3265,2 stars,https://news.bitcoin.com/ubs-european-real-estate-markets-enter-new-cycle/
2024-09-08,Bitcoin.com News,Mark Cuban Warns Kamala Harris’ Unrealized Gains Tax Will Kill Stock Market,Negative,0.3983,1 stars,https://news.bitcoin.com/mark-cuban-warns-kamala-harris-unrealized-gains-tax-will-kill-stock-market/
2024-09-08,Bitcoin.com News,"20 Government Agencies in US, South Korea, and Japan Tackle North Korean Crypto Threats",Negative,0.2418,2 stars,https://news.bitcoin.com/20-government-agencies-in-us-south-korea-and-japan-tackle-north-korean-crypto-threats/
2024-09-07,Bitcoin.com News,Elon Musk Agrees to Head Donald Trump’s D.O.G.E. Government Efficiency Commission,Negative,0.2369,2 stars,https://news.bitcoin.com/elon-musk-agrees-to-head-donald-trumps-d-o-g-e-government-efficiency-commission/
2024-09-07,Bitcoin.com News,Fed Report Explores How Crypto Price Changes Affect Ownership,Negative,0.2918,2 stars,https://news.bitcoin.com/fed-report-explores-how-crypto-price-changes-affect-ownership/
2024-09-07,Bitcoin.com News,Kamala Harris Gains Ripple Co-Founder Chris Larsen’s Endorsement,Negative,0.2648,2 stars,https://news.bitcoin.com/kamala-harris-gains-ripple-co-founder-chris-larsens-endorsement/
2024-09-07,Bitcoin.com News,Venezuelan Opposition Leader Proposes Establishing a Bitcoin Reserve,Negative,0.2721,2 stars,https://news.bitcoin.com/venezuelan-opposition-leader-proposes-establishing-a-bitcoin-reserve/
2024-09-07,Bitcoin.com News,Recession Concerns Ignite Amid US Economic Slowdown and Market Volatility,Negative,0.4043,2 stars,https://news.bitcoin.com/recession-concerns-ignite-amid-us-economic-slowdown-and-market-volatility/
2024-09-07,Bitcoin.com News,Bitcoin Hashrate Hits Record High as Prices Drop Below $55K,Negative,0.278,2 stars,https://news.bitcoin.com/bitcoin-hashrate-hits-record-high-as-prices-drop-below-55k/
2024-09-07,Bitcoin.com News,Sonic SVM Announces Launch of Hyperfuse Nodes in Solana’s First Node Sale,Negative,0.3421,4 stars,https://news.bitcoin.com/sonic-svm-announces-launch-of-hyperfuse-nodes-in-solanas-first-node-sale/
2024-09-08,Bitcoinist,Bitcoin Plunges Under $54K As Weak US Jobs Data Shakes Markets,Positive,0.5144,1 stars,https://bitcoinist.com/bitcoin-plunges-under-54k-as-weak-us-jobs-data-shakes-markets/
2024-09-08,Bitcoinist,Ripple’s Legal Battle With SEC Continues – Here Are The Facts,Negative,0.4817,1 stars,https://bitcoinist.com/ripples-legal-battle-with-sec-continues-here-are-the-facts/
2024-09-07,Bitcoinist,Bitcoin Outperforms Ethereum By 44% Since The Merge — Here Are The Key Factors,Negative,0.344,2 stars,https://bitcoinist.com/bitcoin-outperformed-ethereum-by-44-since-the-merge/
2024-09-07,Bitcoinist,WisdomTree Files To Withdraw Ethereum Trust Registration Statement – Details,Positive,0.5311,1 stars,https://bitcoinist.com/wisdomtree-files-to-withdraw-ethereum-trust/
2024-09-07,Bitcoinist,XRP Holds Strong As Top Analyst Predicts $50 This Cycle,Negative,0.3913,4 stars,https://bitcoinist.com/xrp-holds-strong-as-top-analyst-predicts-50-this-cycle/
2024-09-07,Bitcoinist,Injective Protocol Whale Adds New A.I Casino Project Mpeppe (MPEPE) To Cryptocurrency Holdings,Negative,0.4283,4 stars,https://bitcoinist.com/injective-protocol-whale-adds-new-a-i-casino-project-mpeppe-mpepe-to-cryptocurrency-holdings/
2024-09-07,Bitcoinist,TON Drops 18% As Toncoin (TON) Investors Enter New Mpeppe Casino Presale For Gains,Negative,0.314,4 stars,https://bitcoinist.com/ton-drops-18-as-toncoin-ton-investors-enter-new-mpeppe-casino-presale-for-gains/
2024-09-07,Bitcoinist,"Internet Computer (ICP) Price Prediction: September October November December, Mpeppe Dominance In The Market",Negative,0.3847,4 stars,https://bitcoinist.com/internet-computer-icp-price-prediction-september-october-november-december-mpeppe-dominance-in-the-market/
2024-09-08,Bitcoinsistemi,Are Solana and Cardano Investors Positioned for Explosive Gains in 2024’s Anticipated Market Rally?,Negative,0.4162,4 stars,https://en.bitcoinsistemi.com/are-solana-and-cardano-investors-positioned-for-explosive-gains-in-2024s-anticipated-market-rally/
2024-09-07,Bitcoinsistemi,Analysts’ Top Picks: These 5 Memecoins Could Soar Percentage 1000 by Year-End,Negative,0.3813,4 stars,https://en.bitcoinsistemi.com/analysts-top-picks-these-5-memecoins-could-soar-percentage-1000-by-year-end/
2024-09-07,Bitcoinsistemi,Analysts Name an Altcoin as the Market Falls: “Whales Are Focusing On This”,Negative,0.3365,2 stars,https://en.bitcoinsistemi.com/analysts-name-an-altcoin-as-the-market-falls-whales-are-focusing-on-this/
2024-09-07,Bitcoinsistemi,"Top 5 Cryptos Ready to Explode This Week: XRP, Shiba Inu, Bitcoin, and Ethereum Leading the Surge",Negative,0.2985,4 stars,https://en.bitcoinsistemi.com/top-5-cryptos-ready-to-explode-this-week-xrp-shiba-inu-bitcoin-and-ethereum-leading-the-surge/
2024-09-07,Bitcoinsistemi,Switzerland’s Fourth Largest Bank Announces Its Involvement in the Cryptocurrency Market – Here are the Details,Negative,0.2852,4 stars,https://en.bitcoinsistemi.com/switzerlands-fourth-largest-bank-announces-its-involvement-in-the-cryptocurrency-market-here-are-the-details/
2024-09-07,Bitcoinsistemi,Justin Sun Announces Major Update for Tron (TRX),Negative,0.2631,2 stars,https://en.bitcoinsistemi.com/justin-sun-announces-major-update-for-tron-trx/
2024-09-07,Bitcoinsistemi,"Experienced Analyst Says “The Bull in Bitcoin Isn’t Over”, Gives Date for the Actual Peak",Negative,0.2995,2 stars,https://en.bitcoinsistemi.com/experienced-analyst-says-the-bull-in-bitcoin-isnt-over-gives-date-for-the-actual-peak/
2024-09-07,Bitcoinsistemi,Bitcoin Prophecy from a Giant Technology Company: “In 18 Months…”,Negative,0.3904,2 stars,https://en.bitcoinsistemi.com/bitcoin-prophecy-from-a-giant-technology-company-in-18-months/
2024-09-07,Bitcoinsistemi,Recent Developments Evaluated: What to Expect in the Cryptocurrency Market This Weekend?,Negative,0.3289,2 stars,https://en.bitcoinsistemi.com/recent-developments-evaluated-what-to-expect-in-the-cryptocurrency-market-this-weekend/
2024-09-07,Bitcoinsistemi,"When Will FTX Refunds, Alleged to Revitalize the Cryptocurrency Market, Start?",Negative,0.33,2 stars,https://en.bitcoinsistemi.com/when-will-ftx-refunds-alleged-to-revitalize-the-cryptocurrency-market-start/
2024-09-07,Bitcoinsistemi,Will Cryptocurrencies Take the Throne of the Dollar? BNY Mellon CEO Speaks,Negative,0.2764,2 stars,https://en.bitcoinsistemi.com/will-cryptocurrencies-take-the-throne-of-the-dollar-bny-mellon-ceo-speaks/
2024-09-07,Bitcoinsistemi,Did Ethereum ETFs Fail: JPMorgan Analysts Explain Why There’s No Uptrend,Negative,0.3647,2 stars,https://en.bitcoinsistemi.com/did-ethereum-etfs-fail-jpmorgan-analysts-explain-why-theres-no-uptrend/
2024-09-07,Bitcoinsistemi,Citi Shares Reasons Why Bitcoin and Cryptocurrencies Aren’t Surging and What to Expect in the Days Ahead,Negative,0.3799,2 stars,https://en.bitcoinsistemi.com/citi-shares-reasons-why-bitcoin-and-cryptocurrencies-arent-surging-and-what-to-expect-in-the-days-ahead/
2024-09-06,Bitcoinsistemi,"Bitcoin Continues to Fall Sharply: Below $53,000 Also Seen! So What Causes the Decline?",Positive,0.5507,1 stars,https://en.bitcoinsistemi.com/bitcoin-continues-to-fall-sharply-below-53000-also-seen-so-what-causes-the-decline/
2024-09-06,Bitcoinsistemi,“Insider” Suspicion on This Altcoin: Big Whales Get Moving,Negative,0.4851,1 stars,https://en.bitcoinsistemi.com/insider-suspicion-on-this-altcoin-big-whales-get-moving/
2024-09-06,Bitcoinsistemi,FED Officials’ Statements Shake the Market: Former US Treasury Secretary Issues Statement,Negative,0.3707,2 stars,https://en.bitcoinsistemi.com/fed-officials-statements-shake-the-market-former-us-treasury-secretary-issues-statement/
2024-09-06,Bitcoinsistemi,A New Move from the SEC Regarding the Cryptocurrency Sector: There is a Development in the Case It Filed Years Ago,Positive,0.5248,1 stars,https://en.bitcoinsistemi.com/a-new-move-from-the-sec-regarding-the-cryptocurrency-sector-there-is-a-development-in-the-case-it-filed-years-ago/
2024-09-06,Bitcoinsistemi,There is a New Development in Coinbase-SEC Case! Here are the Details,Negative,0.4578,1 stars,https://en.bitcoinsistemi.com/there-is-a-new-development-in-coinbase-sec-case-here-are-the-details/
2024-09-06,Bitcoinsistemi,Telegram CEO Pavel Durov Introduces New Features That Will Be Much Talked About: How Did Toncoin (TON) Price React?,Negative,0.3522,2 stars,https://en.bitcoinsistemi.com/telegram-ceo-pavel-durov-introduces-new-features-that-will-be-much-talked-about-how-did-toncoin-ton-price-react/
2024-09-06,Bitcoinsistemi,VanEck Decides to Close Controversial Ethereum ETF: Here is the Probable Reason,Positive,0.5592,1 stars,https://en.bitcoinsistemi.com/vaneck-decides-to-close-controversial-ethereum-etf-here-is-the-probable-reason/
2024-09-06,Bitdegree,CEO Arrest Prompts Telegram to Modify FAQ on Illegal Content Moderation,Negative,0.4053,4 stars,https://www.bitdegree.org/crypto/news/ceo-arrest-prompts-telegram-to-modify-faq-on-illegal-content-moderation
2024-09-06,Bitdegree,Ex-FTX Executive Allegedly Connected to Chinese Bribery Scandal,Negative,0.3232,1 stars,https://www.bitdegree.org/crypto/news/ex-ftx-executive-allegedly-connected-to-chinese-bribery-scandal
2024-09-06,Bitdegree,Telegram's Pavel Durov Speaks Out for the First Time Post-Arrest,Positive,0.5114,1 stars,https://www.bitdegree.org/crypto/news/telegrams-pavel-durov-speaks-out-for-the-first-time-post-arrest
2024-09-05,Bitdegree,Pump.fun Overtakes Sun Pump Again in the Battle of Memecoin Platforms,Negative,0.4957,4 stars,https://www.bitdegree.org/crypto/news/pump-fun-overtakes-sun-pump-again-in-the-battle-of-memecoin-platforms
2024-09-05,Bitdegree,Uniswap Labs Faces $175K Fine from CFTC for Violating Commodity Laws,Negative,0.4159,1 stars,https://www.bitdegree.org/crypto/news/uniswap-labs-faces-175k-fine-from-cftc-for-violating-commodity-laws
2024-09-05,Bitdegree,California DOJ and Robinhood Reach $3.9M Settlement Over Crypto Issues,Negative,0.4301,1 stars,https://www.bitdegree.org/crypto/news/california-doj-and-robinhood-reach-3-9m-settlement-over-crypto-issues
2024-09-05,Bitdegree,Trump Family’s Crypto Platform Seeks Global US Dollar Supremacy,Negative,0.3827,5 stars,https://www.bitdegree.org/crypto/news/trump-familys-crypto-platform-seeks-global-us-dollar-supremacy
2024-09-05,Bitdegree,Nvidia Clarifies: No Department of Justice Antitrust Subpoena Issued,Negative,0.4311,1 stars,https://www.bitdegree.org/crypto/news/nvidia-clarifies-no-department-of-justice-antitrust-subpoena-issued
2024-09-04,Bitdegree,"Starlink Complies with Brazil's Supreme Court, Blocks X Nationwide",Negative,0.4598,1 stars,https://www.bitdegree.org/crypto/news/starlink-complies-with-brazils-supreme-court-blocks-x-nationwide
